"","key","value","x","country"
"1","schools_universities",2020-03-14,11.3,"Germany"
"2","self_isolating_if_ill",2020-03-06,11.3,"Germany"
"3","public_events",2020-03-22,11.3,"Germany"
"4","lockdown",2020-03-22,11,"Germany"
"5","social_distancing_encouraged",2020-03-12,11.3,"Germany"
"6","schools_universities",2020-03-05,5.3,"Italy"
"7","self_isolating_if_ill",2020-03-09,5.3,"Italy"
"8","public_events",2020-03-09,5,"Italy"
"9","lockdown",2020-03-11,5.3,"Italy"
"10","social_distancing_encouraged",2020-03-09,4.7,"Italy"
"11","schools_universities",2020-03-14,8.3,"Belgium"
"12","self_isolating_if_ill",2020-03-10,8.3,"Belgium"
"13","public_events",2020-03-12,8.3,"Belgium"
"14","lockdown",2020-03-18,8.3,"Belgium"
"15","social_distancing_encouraged",2020-03-14,8,"Belgium"
"16","schools_universities",2020-03-14,11.3,"Austria"
"17","self_isolating_if_ill",2020-03-16,11.3,"Austria"
"18","public_events",2020-03-10,11.3,"Austria"
"19","lockdown",2020-03-16,11,"Austria"
"20","social_distancing_encouraged",2020-03-16,10.7,"Austria"
"21","schools_universities",2020-03-14,13.3,"Poland"
"22","self_isolating_if_ill",2020-03-06,13.3,"Poland"
"23","public_events",2020-03-22,13.3,"Poland"
"24","lockdown",2020-03-22,13,"Poland"
"25","social_distancing_encouraged",2020-03-12,13.3,"Poland"
